	not_found	CID
814	populus deltoides subsp. monilifera pollen	146171810
815	bleselumab	146171811
816	ziv-aflibercept	146171812
817	agrostis gigantea pollen	146171813
818	apricot kernel	146171814
819	larix decidua wood	146171815
820	edible rock crab	146171816
821	cladosporium herbarum	146171817
822	tragacanth	146171818
823	terminalia chebula fruit	146171819
824	basiliximab	146171820
825	clostridium tetani	146171821
826	laronidase	146171822
827	saccharin sodium dihydrate	146171823
828	ferritin	146171824
829	simlukafusp alfa	146171825
830	antimony potassium tartrate	146171826
831	atacicept	146171827
832	betula lenta pollen	146171828
833	pamrevlumab	146171829
834	magnesium phosphate, tribasic, pentahydrate	146171830
835	.alpha.-acetyldigoxin	146171831
836	xanthium strumarium pollen	146171832
837	cannabis sativa seed	146171833
838	trichophyton rubrum	146171834
839	black pepper	146171835
840	probiotics	146171836
841	zanolimumab	146171837
842	ceftaroline	146171838
843	sage oil	146171839
844	thiamine	146171840
845	luspatercept-aamt	146171841
846	prunus serotina bark	146171842
847	aloe arborescens leaf	146171843
848	influenza virus vaccine	146171844
849	heparin calcium	146171845
850	peginterferon lambda-1a	146171846
851	epidermophyton floccosum	146171847
852	influenza b virus b/maryland/15/2016 bx-69a antigen (uv, formaldehyde inactivated)	146171848
853	alnus rubra pollen	146171849
854	coagulation factor ix recombinant human	146171850
855	phyllanthus amarus fruit	146171851
856	corynebacterium diphtheriae	146171852
857	crizanlizumab	146171853
858	influenza b virus b/phuket/3073/2013 antig	146171854
859	yeast	146171855
860	clobetasol	146171856
861	tuna, unspecified	146171857
862	denenicokin	146171858
863	genetically-modified autologous t cells nos	146171859
864	urtica dioica	146171860
865	cajuput oil	146171861
866	polygala tenuifolia root	146171862
867	human blood cells, packed	146171863
868	guselkumab	146171864
869	hydrogen peroxide	146171865
870	colistin sulfate	146171866
871	fraxinus latifolia pollen	146171867
872	ergoloid mesylates	146171868
873	lachesis muta venom	146171869
874	aluminum zirconium trichlorohydrex gly	146171870
875	needles	146171871
876	emibetuzumab	146171872
877	vitamin d nos	146171873
878	vita	146171874
879	influenza a virus a/hong kong/4801/2014 x-263b (h3n2) antigen (uv, formaldehyde inactivated)	146171875
880	rilonacept	146171876
881	haemophilus b conjugate vaccine (tetanus toxoid conjugate)	146171877
882	pascopyrum smithii pollen	146171878
883	belatacept	146171879
884	cod liver oil	146171880
885	influenza b virus b/massachusetts/2/2012 bx-51b antigen (propiolactone inactivated)	146171881
886	dorgenmeltucel-l	146171882
887	lenograstim	146171883
888	felzartamab	146171884
889	calcium sulfide	146171885
890	polygeline	146171886
891	bevacizumab-bvzr	146171887
892	pancrelipase lipase	146171888
893	citicoline	146171889
894	dostarlimab	146171890
895	rituximab	146171891
896	plantago seed	146171892
897	carrot	146171893
898	carya glabra pollen	146171894
899	thyrotropin	146171895
900	stemphylium solani	146171896
901	sepia officinalis juice	146171897
902	polistes fuscatus venom protein	146171898
903	albumin aggregated	146171899
904	equus caballus dander	146171900
905	peumus boldus whole	146171901
906	bombyx mori fiber	146171902
907	methylated spirits	146171903
908	indian frankincense	146171904
909	opicinumab	146171905
910	arsenic trioxide	146171906
911	sodium chlori	146171907
912	ribonucleic acid	146171908
913	siltuximab	146171909
914	paullinia cupana seed	146171910
915	beractant	146171911
916	sod ascorbate	146171912
917	tno-155 monosuccinate hemihydrate	146171913
918	influenza a virus a/victoria/361/2011 (h3n2) recombinant hemagglutinin antigen	146171914
919	gadopentetate dimeglumine	146171915
920	immune globulin nos	146171916
921	iodized oil	146171917
922	spigelia anthelmia	146171918
923	influenza a virus a/california/7/2009 x-179a (h1n1) antigen (formaldehyde inactivated)	146171919
924	cetuximab	146171920
925	ibalizumab	146171921
926	equus caballus hair	146171922
927	blood, bovine	146171923
928	pea	146171924
929	diphtheria and tetanus toxoids and pertussis vaccine adsorbed and haemophilus b conjugate vaccine	146171925
930	akebia quinata fruit	146171926
931	cenegermin-bkbj	146171927
932	adalimumab-adaz	146171928
933	matricaria recutita	146171929
934	flounder, unspecified	146171930
935	oyster, unspecified	146171931
936	protease	146171932
937	feverfew	146171933
938	wheat	146171934
939	artemisia absinthium pollen	146171935
940	antihemophilic factor porcine, b-domain truncated recombinant	146171936
941	mecasermin	146171937
942	ofranergene obadenovec	146171938
943	edrecolomab	146171939
944	iodinated casein	146171940
945	erenumab	146171941
946	chymotrypsin	146171942
947	ampicillin trihydrate 	146171943
948	silybum marianum whole	146171944
949	belimumab	146171945
950	festuca pratensis pollen	146171946
951	plantago ovata leaf	146171947
952	solcoseryl	146171948
953	polysaccharide-k	146171949
954	carotuximab	146171950
955	guaifenesin and	146171951
956	pneumococcal vaccine polyvalent	146171952
957	varlilumab	146171953
958	pitolisant	146171954
959	arctostaphylos uva-ursi leaf	146171955
960	trastuzumab-qyyp	146171956
961	cytomegalovirus immune globulin human	146171957
962	sesame seed	146171958
963	 vespula maculifrons venom protein	146171959
964	apis mellifera venom	146171960
965	iva axillaris pollen	146171961
966	bismuth oxychloride	146171962
967	maltodextrin	146171963
968	coagulation factor viia (recombinant)	146171964
969	crospovidone	146171965
970	liquidambar styraciflua resin	146171966
971	muskmelon	146171967
972	nadroparin calcium	146171968
973	solenopsis richteri	146171969
974	butylated hydroxyanisole	146171970
975	yttrium y-90 ibritumomab tiuxetan	146171971
976	helianthus annuus pollen	146171972
977	ro-6874281	146171973
978	golodirsen	146171974
979	cream base	146171975
980	thymus	146171976
981	polysaccharides	146171977
982	lactobacillus delbrueckii subsp. bulgaricus	146171978
983	ravulizumab-cwvz	146171979
984	inavolisib	146171980
985	influenza a virus a/switzerland/9715293/2013 nib-88 (h3n2) antigen (uv, formaldehyde inactivated)	146171981
986	pleospora betae	146171982
987	interferon	146171983
988	thioguanine anhydrous	146171984
989	ustilago tritici	146171985
990	pork	146171986
991	konjac mannan	146171987
992	spongia officinalis skeleton, roasted	146171988
993	indium in-111 capromab pendetide	146171989
994	voretigene neparvovec	146171990
995	essential oils	146171991
996	vipivotide tetraxetan lutetium lu-177	146171992
997	neisseria meningitidis group c capsular polysaccharide diphtheria toxoid conjugate antigen	146171993
998	brown rice	146171994
999	carboxymethylcellulose sodium	146171995
1000	soy protein	146171996
1001	rinucumab	146171997
1002	elosulfase alfa	146171998
1003	black walnut	146171999
1004	dactylis glomerata	146172000
1005	tiger snake (notechis scutatus) immune globulin antivenin (equine)	146172001
1006	magniesium chloride	146172002
1007	ademetionine sulfate tosilate	146172003
1008	cranberry juice	146172004
1009	green olive	146172005
1010	olaratumab	146172006
1011	antihistamines nos	146172007
1012	populus balsamifera leaf bud	146172008
1013	hepatitis a vaccine, inactivated	146172009
1014	influenza a virus a/texas/50/2012 x-223 (h3n2) antigen (propiolactone inactivated)	146172010
1015	ambrosia trifida pollen	146172011
1016	lyme disease vaccine recombinant ospa	146172012
1017	polistes metricus venom protein	146172013
1018	citrus aurantium fruit rind	146172014
1019	poractant alfa	146172015
1020	allergenic extract- 7 grass mix	146172016
1021	bacitracin	146172017
1022	aspergillus brasiliensis	146172018
1023	filgrastim-aafi	146172019
1024	choriogonadotropin alfa	146172020
1025	dill	146172021
1026	aldesleukin	146172022
1027	palivizumab	146172023
1028	glycyrrhiza glabra	146172024
1029	plantago lanceolata pollen	146172025
1030	mentha piperita	146172026
1031	amylase	146172027
1032	silver protein, mild	146172028
1033	human papillomavirus quadrivalent (types 6, 11, 16, and 18) vaccine, recombinant	146172029
1034	ringer^s injection, lactated	146172030
1035	thyrotropin alfa	146172031
1036	tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine, adsorbed antigens	146172032
1037	neisseria meningitidis group y capsular polysaccharide antigen	146172033
1038	penicillium chrysogenum var. chrysogenum	146172034
1039	filgrastim (neupogen)	146172035
1040	perilla frutescens leaf	146172036
1041	baptisia tinctoria	146172037
1042	opium alkaloids, hydrochlorides	146172038
1043	equisetum arvense extract	146172039
1044	acremonium strictum	146172040
1045	inotuzumab ozogamicin	146172041
1046	durvalumab	146172042
1047	sus scrofa collagen	146172043
1048	?triamcinolone	146172044
1049	peginesatide	146172045
1050	leptin human	146172046
1051	dextran sulfate sodium	146172047
1052	ostrea edulis shell	146172048
1053	danaparoid	146172049
1054	selenium sulfide	146172050
1055	carya cordiformis pollen	146172051
1056	cannabis sativa subsp. sativa flowering top	146172052
1057	electrolytes nos	146172053
1058	achillea millefolium	146172054
1059	shark, unspecified	146172055
1060	populus tremuloides whole	146172056
1061	dupilumab	146172057
1062	soy extract	146172058
1063	aloe vera flower	146172059
1064	juniperus ashei pollen	146172060
1065	oak bark extract	146172061
1066	platanus occidentalis pollen	146172062
1067	iva annua pollen	146172063
1068	cynodon dactylon	146172064
1069	oat	146172065
1070	fraxinus pennsylvanica pollen	146172066
1071	lemon juice	146172067
1072	coffee bean	146172068
1073	goldenseal	146172069
1074	ornithogalum umbellatum	146172070
1075	amino acids	146172071
1076	cells, nos	146172072
1077	avocado oil	146172073
1078	cocoa butter	146172074
1079	dihydroxyaluminum aminoacetate	146172075
1080	hydroquinidine	146172076
1081	pf-06928316 (847b ds)	146172077
1082	crenezumab	146172078
1083	pentosan polysulfate sodium	146172079
1084	oxiconazole	146172080
1085	sarsaparilla	146172081
1086	matuzumab	146172082
1087	quercus velutina pollen	146172083
1088	covid-19 convalescent plasma	146172084
1089	daclizumab	146172085
1090	whey protein enriched in cystine bovine	146172086
1091	romilkimab	146172087
1092	influenza virus vaccine trivalent type a+b afluria	146172088
1093	tanacetum parthenium	146172089
1094	human rabies virus immune globulin	146172090
1095	dextrose, unspecified form	146172091
1096	interferon alfa-1b	146172092
1097	lymphocytes	146172093
1098	poliovirus sabin type 3 live antigen	146172094
1099	peumus boldus leaf	146172095
1100	ustilago maydis	146172096
1101	radiation therapy	146172097
1102	 lactobacillus casei	146172098
1103	cherry	146172099
1104	tislelizumab	146172100
1105	fish	146172101
1106	clostridium tetani toxoid antigen (formaldehyde inactivated)	146172102
1107	relatlimab	146172103
1108	sinecatechins	146172104
1109	ophiocordyceps sinensis	146172105
1110	ado-trastuzumab emtansine	146172106
1111	denileukin diftitox	146172107
1112	reviparin sodium	146172108
1113	carlumab	146172109
1114	eftrenonacog alfa	146172110
1115	sodium phosphate,dib	146172111
1116	 populus deltoides pollen	146172112
1117	potassium alum anhydrous	146172113
1118	populus trichocarpa pollen	146172114
1119	allergenic extract- pollen	146172115
1120	human papillomavirus vaccine	146172116
1121	influenza virus vaccine, swine	146172117
1122	mesocricetus auratus skin	146172118
1123	glycosaminoglycans	146172119
1124	myrcludex b	146172120
1125	ringer^s solution, lactated	146172121
1126	pseudoephedrine hydrous	146172122
1127	anthoxanthum odoratum	146172123
1128	ficlatuzumab	146172124
1129	escargot	146172125
1130	urelumab	146172126
1131	minerals	146172127
1132	ulmus americana pollen	146172128
1133	metamizol sodium	146172129
1134	carotenoids	146172130
1135	vay-736	146172131
1136	human plasma	146172132
1137	vespula maculifrons venom protein	146172133
1138	galcanezumab	146172134
1139	tezepelumab	146172135
1140	dalteparin sodium	146172136
1141	cabbage	146172137
1142	fremanezumab-vfrm	146172138
1143	eteplirsen	146172139
1144	herpes simplex vaccine	146172140
1145	bacillus coagulans	146172141
1146	populus deltoides subsp. deltoides pollen	146172142
1147	periplaneta americana	146172143
1148	obinutuzumab	146172144
1149	fosfructose	146172145
1150	nitroprusside	146172146
1151	vestronidase alfa-vjbk	146172147
1152	shellfish, unspecified	146172148
1153	silver oxide	146172149
1154	dextran 70	146172150
1155	chondroitin sulfate - iron colloid	146172151
1156	chlorpheniramine maleat	146172152
1157	aducanumab	146172153
1158	phoma exigua var. exigua	146172154
1159	ginger oil	146172155
1160	influenza a virus a/texas/50/2012 x-223a (h3n2) antigen (uv, formaldehyde inactivated)	146172156
1161	cardamom	146172157
1162	polycarbophil	146172158
1163	mitiglinide calcium anhydrous	146172159
1164	corynebacte	146172160
1165	mentha arvensis leaf	146172161
1166	pertuzumab	146172162
1167	salmonella typhi ty2 vi polysaccharide antigen	146172163
1168	sipuleucel-t	146172164
1169	omalizumab	146172165
1170	oleclumab	146172166
1171	tiotropium bromide anhydrous	146172167
1172	hedera helix flowering twig	146172168
1173	crofelemer	146172169
1174	artemisia tridentata pollen	146172170
1175	neisseria meningitidis group w-135 capsular oligosaccharide diphtheria crm197 protein conjugate anti	146172171
1176	urtica dioica whole	146172172
1177	bevacizumab-awwb	146172173
1178	lactobacillus acidophilus	146172174
1179	amphetamine aspartate	146172175
1180	vestronidase alfa	146172176
1181	somatropin	146172177
1182	atractylodes macrocephala root	146172178
1183	oryctolagus cuniculus skin	146172179
1184	dextromethorphan and	146172180
1185	influenza a virus a/singapore/gp1908/2015 ivr-180 (h1n1) antigen (formaldehyde inactivated)	146172181
1186	eucalyptus gum	146172182
1187	ethiodized oil	146172183
1188	picolamine salicylate	146172184
1189	.alpha.-tocopherol acetate, d-	146172185
1190	bryonia alba root	146172186
1191	comfrey root	146172187
1192	camphor oil	146172188
1193	ulmus pumila pollen	146172189
1194	bms-986249	146172190
1195	mung bean	146172191
1196	bacillus calmette-guerin antigen, unspecified substrain	146172192
1197	prosopis juliflora pollen	146172193
1198	coagulation factor ix (recombinant), glycopegylated	146172194
1199	aspergillus repens	146172195
1200	deoxyribonucliec acid	146172196
1201	haemophilus b conjugate vaccine	146172197
1202	peptone, dried	146172198
1203	citrus bioflavonoids	146172199
1204	soy isoflavones	146172200
1205	brazikumab	146172201
1206	hepatitis a virus strain cr 326f antigen (formaldehyde inactivated)	146172202
1207	aminolevulinic acid	146172203
1208	neisseria meningitidis group a capsular polysaccharide antigen	146172204
1209	potassium iod	146172205
1210	lutropin alfa	146172206
1211	defibrotide (bovine)	146172207
1212	ambrosia artemisiifolia pollen	146172208
1213	cochliobolus sativus	146172209
1214	salmon, unspecified	146172210
1215	cranberry	146172211
1216	poa pratensis pollen	146172212
1217	bovine type i collagen	146172213
1218	betula alleghaniensis pollen	146172214
1219	corifollitropin alfa	146172215
1220	summer squash	146172216
1221	calcifediol	146172217
1222	tar	146172218
1223	gibberella zeae	146172219
1224	artemisia argyi leaf	146172220
1225	phosphatidyl serine	146172221
1226	enadenotucirev	146172222
1227	pacific halibut	146172223
1228	gymnema sylvestre leaf extract	146172224
1229	filipendula ulmaria whole	146172225
1230	buckwheat	146172226
1231	cladosporium sphaerospermum	146172227
1232	hypromellose phthalate	146172228
1233	betula occidentalis pollen	146172229
1234	plantago ovata seed coat	146172230
1235	bifidobacterium longum subsp. infantis	146172231
1236	cherry extract	146172232
1237	lactobacillus casei	146172233
1238	bapineuzumab	146172234
1239	aspergillus flavus	146172235
1240	risankizumab	146172236
1241	haemophilus influenzae type b strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen	146172237
1242	acer saccharum pollen	146172238
1243	bacillus anthracis strain v770-np1-r antigens	146172239
1244	infliximab-qbtx	146172240
1245	plantago ovata seed	146172241
1246	atlantic cod	146172242
1247	solidago canadensis pollen	146172243
1248	scopolam	146172244
1249	pinus echinata pollen	146172245
1250	bioflavonoids	146172246
1251	vasopressin	146172247
1252	trifolium pratense flower	146172248
1253	d+c black no. 2	146172249
1254	astragalus propinquus root	146172250
1255	beef liver	146172251
1256	honey	146172252
1257	botrytis cine	146172253
1258	angelica sinensis root	146172254
1259	red clover	146172255
1260	fasinumab	146172256
1261	oleamides	146172257
1262	atriplex polycarpa pollen	146172258
1263	panax quinquefolius whole	146172259
1264	influenza b virus b/massachusetts/2/2012 antigen (formaldehyde inactivated)	146172260
1265	 pancrelipase lipase	146172261
1266	influenza a virus a/victoria/361/2011 ivr-165 (h3n2) antigen (mdck cell derived, propiolactone inactivated)	146172262
1267	tetanus antitoxin	146172263
1268	hyoscyamus niger leaf	146172264
1269	tobacco leaf	146172265
1270	lumretuzumab	146172266
1271	caplacizumab	146172267
1272	quercus muehlenbergii pollen	146172268
1273	orange juice	146172269
1274	coagulation factor xi	146172270
1275	oliveoil	146172271
1276	vespula squamosa venom protein	146172272
1277	ustilago avenae	146172273
1278	axicabtagene ciloleucel	146172274
1279	juglans nigra p	146172275
1280	ranibizumab	146172276
1281	pineapple	146172277
1282	birch bark	146172278
1283	fecal microbiota	146172279
1284	calcium lactate gluconate anhydrous	146172280
1285	dolichovespula arenaria venom protein	146172281
1286	ganoderma lucidum stem	146172282
1287	sesame oil	146172283
1288	royal jelly	146172284
1289	alfalfa whole	146172285
1290	salix alba (willow) bark extract	146172286
1291	corydalis ambigua tuber	146172287
1292	luspatercept	146172288
1293	.alpha.-amylase (aspergillus oryzae)	146172289
1294	carob	146172290
1295	ubidecar	146172291
1296	tositumomab i-131	146172292
1297	canerpaturev	146172293
1298	diphenhydramine and	146172294
1299	nutmeg	146172295
1300	bos taurus bile	146172296
1301	convallaria majalis	146172297
1302	potassium sulfide	146172298
1303	light mineral oil	146172299
1304	typhoid vaccine	146172300
1305	haematonectria haematococca	146172301
1306	nattokinase	146172302
1307	broussonetia papyrifera pollen	146172303
1308	(1-743)-(1638-2332)-blood-coagulation factor viii (synthetic human) fusion protein with immunoglobulin g1 (synthetic human fc domain fragment), (1444-6^),(1447-9^)-bis(disulfide) with immunoglobulin g1 (synthetic human fc domain fragment)	146172304
1309	temocapril	146172305
1310	serrapeptase	146172306
1311	epratuzumab	146172307
1312	okra	146172308
1313	sirukumab	146172309
1314	euphorbia resinifera resin	146172310
1315	anti-human t lymphocyte porcine immunoglobulin	146172311
1316	tick-borne encephalitis vaccine	146172312
1317	investigational biosimilars	146172313
1318	interferon alfa-1a	146172314
1319	salix lasiolepis pollen	146172315
1320	pancrelipase protease	146172316
1321	pancreas preparation	146172317
1322	idarucizumab	146172318
1323	hamamelis virginiana leaf	146172319
1324	potassium creosotesulfonate	146172320
1325	senna leaf	146172321
1326	sarracenia purpurea	146172322
1327	interferon gamma	146172323
1328	wax, emulsifying	146172324
1329	turoctocog alfa	146172325
1330	glycyrrhiza extract	146172326
1331	influenza a virus a/victoria/210/2009 x-187 (h3n2) antigen (formaldehyde inactivated)	146172327
1332	raxibacumab	146172328
1333	magnesium cl	146172329
1334	allergenic extract- insect venom protein	146172330
1335	secukinumab	146172331
1336	bempegaldesleukin	146172332
1337	pumpkin	146172333
1338	briobacept	146172334
1339	dibotermin alfa	146172335
1340	dextromethorphan hbr/guaifenesin/methylephedrine hcl	146172336
1341	ocrelizumab	146172337
1342	galiximab	146172338
1343	dalotuzumab	146172339
1344	human hepatitis b virus immune globulin	146172340
1345	polistes annularis venom protein	146172341
1346	influenza b virus	146172342
1347	interferon alfa-n3	146172343
1348	gentamicin sulfate	146172344
1349	allergenic extract- 8 tree mix	146172345
1350	cebpa-51 free acid	146172346
1351	phenylmercuric nitrate	146172347
1352	pleospora tarda	146172348
1353	shea butter	146172349
1354	tuberculin purified protein derivative	146172350
1355	equine botulinum neurotoxin a/b/c/d/e/f/g immune fab2	146172351
1356	filipendula ulmaria root	146172352
1357	influenza a virus a/switzerland/9715293/2013 nib-88 (h3n2) antigen (propiolactone inactivated)	146172353
1358	nicardipine	146172354
1359	datura stramonium leaf	146172355
1360	rhizopus arrhizus var. arrhizus	146172356
1361	viscum album fruiting top	146172357
1362	miriplatin	146172358
1363	diphtheria and tetanus toxoids and acellular pertussis adsorbed and inactivated poliovirus vaccine	146172359
1364	elymus repens pollen	146172360
1365	monalizumab	146172361
1366	drimia maritima bulb	146172362
1367	haemophilus influenzae type b capsular polysaccharide meningococcal outer membrane protein conjugate antigen	146172363
1368	reishi	146172364
1369	dalteparin	146172365
1370	hydrocarbon	146172366
1371	selenocysteine	146172367
1372	allergenic extract- ragweed, ambrosia spp	146172368
1373	fenugreek leaf	146172369
1374	otlertuzumab	146172370
1375	ocuguard	146172371
1376	white pine oil	146172372
1377	harpagophytum procumbens root	146172373
1378	influenza a virus a/brisbane/02/2018 ivr-190 (h1n1) antigen (formaldehyde inactivated)	146172374
1379	succinic acid	146172375
1380	iris germanica var. florentina root	146172376
1381	juniperus osteosperma pollen	146172377
1382	 sulfogaiacol	146172378
1383	rhamnus purshiana bark extract	146172379
1384	influenza a virus a/si%	146172380
1385	figitumumab	146172381
1386	spirulina	146172382
1387	senna occidentalis	146172383
1388	reslizumab	146172384
1389	artichoke	146172385
1390	populus tremuloides	146172386
1391	plantago indica whole	146172387
1392	northern pink shrimp	146172388
1393	sacrosidase	146172389
1394	eupatorium capillifolium pollen	146172390
1395	allergenic extract- tree	146172391
1396	ligustrum vulgare pollen	146172392
1397	xylene	146172393
1398	luffa operculata fruit	146172394
1399	crab leg, unspecified	146172395
1400	simtuzumab	146172396
1401	belladonna alkaloids	146172397
1402	bromelains	146172398
1403	human thymus	146172399
1404	cholera vaccine	146172400
1405	dietary supplement	146172401
1406	cinnamon	146172402
1407	lime (calcium oxide)	146172403
1408	nivolumab	146172404
1409	quinagolide	146172405
1410	sodium phosphate, monobasic, unspecified form	146172406
1411	rabies virus strain pm-1503-3m antigen (propiolactone inactivated)	146172407
1412	belantamab mafodotin	146172408
1413	danvatirsen	146172409
1414	tiragolumab	146172410
1415	c1 esterase inhibitor (human)	146172411
1416	etrolizumab	146172412
1417	influenza a virus a/california/7/2009 (h1n1) recombinant hemagglutinin antigen	146172413
1418	enterococcus faecalis	146172414
1419	potassium cresolsulfonate	146172415
1420	gibberella fujik	146172416
1421	sus scrofa bone	146172417
1422	hepatitis b virus vaccine	146172418
1423	cyclachaena xanthifolia pollen	146172419
1424	papain	146172420
1425	magnolia grandiflora flower	146172421
1426	belagenpumatucel-l	146172422
1427	influenza a virus a/christchurch/16/2010 nib-74xp (h1n1) antigen (formaldehyde inactivated)	146172423
1428	aldioxa	146172424
1429	telisotuzumab vedotin	146172425
1430	raspberry	146172426
1431	chondroitin sulfate sodium (bovine)	146172427
1432	diphtheria and tetanus toxoids and acellular pertussis adsorbed, inactivated poliovirus and haemophilus b conjugate and hepatitis b virus vaccine	146172428
1433	human albumin microspheres	146172429
1434	ferumoxytol	146172430
1435	penicillium chrysogenum var. chrys	146172431
1436	egg	146172432
1437	oyster shell calcium carbonate, crude	146172433
1438	onasemnogene abeparvovec-xioi	146172434
1439	centella asiatica whole	146172435
1440	dextroamphetamine saccharate	146172436
1441	elotuzumab	146172437
1442	aloe vera leaf	146172438
1443	influenza b virus b/maryland/15/2016 recombinant hemagglutinin antigen	146172439
1444	lifileucel	146172440
1445	amaranthus tuberculatus pollen	146172441
1446	trastuzumab-dkst	146172442
1447	methylcellulose (4000 cps)	146172443
1448	emapalumab-lzsg	146172444
1449	interleukin-1.alpha.	146172445
1450	human rotavirus a type g1p(8) strain rix4414 live antigen	146172446
1451	peginterferon alfa-2b	146172447
1452	passiflora incarnata flower	146172448
1453	oregovomab	146172449
1454	botulism antitoxin	146172450
1455	pancrelipase	146172451
1456	influenza a virus a/california/7/2009(h1n1)-like antigen (propiolactone inactivated)	146172452
1457	solenopsis invicta	146172453
1458	cixutumumab	146172454
1459	pegaptanib sodium	146172455
1460	cryoprecipitated antihemophilic factor (human)	146172456
1461	antihemophilic factor, human recombinant	146172457
1462	.alpha.1-proteinase inhibitor human	146172458
1463	cetrelimab	146172459
1464	perfluorohexyloctane	146172460
1465	vitamins	146172461
1466	apis mellifera	146172462
1467	frankincense oil	146172463
1468	peanut oil	146172464
1469	trastuzumab-anns	146172465
1470	taxus baccata fruit	146172466
1471	pneumococcal vaccine, polyvalent 23	146172467
1472	poliomyelitis vaccine	146172468
1473	sarocladium stric	146172469
1474	chimaphila umbellata	146172470
1475	coix lacryma-jobi var. ma-yuen seed	146172471
1476	avelumab	146172472
1477	cannabis sativa flowering top	146172473
1478	balugrastim	146172474
1479	iron protein succinylate	146172475
1480	potassium metabisulfite	146172476
1481	bezlotoxumab	146172477
1482	hyaluronidase, ovine	146172478
1483	sorghum halepense pollen	146172479
1484	mogamulizumab-kpkc	146172480
1485	bacillus calmette-guerin substrain tokyo 172-1 live antigen	146172481
1486	rabbit	146172482
1487	interferon beta-1a	146172483
1488	pinus contorta pollen	146172484
1489	ergoloids	146172485
1490	ranpirnase	146172486
1491	fremanezumab	146172487
1492	valerian extract	146172488
1493	influenza b virus b/maryland/15/2016 bx-69a antigen (formaldehyde inactivated)	146172489
1494	cefditoren	146172490
1495	escin	146172491
1496	influenza a virus a/california/7/2009 (h1n1) live(attenuated) antigen	146172492
1497	hypericum perforatum	146172493
1498	acai	146172494
1499	lima bean	146172495
1500	hydrophilic petrolatum	146172496
1501	peptichemio	146172497
1502	hypromellose 2906 (50 mpa.s)	146172498
1503	galinpepimut-s	146172499
1504	human serum, normal	146172500
1505	keyhole limpet hemocyanin	146172501
1506	felis catus dander	146172502
1507	blue crab	146172503
1508	adalimumab-adbm	146172504
1509	neisseria meningitidis group w-135 capsular polysaccharide diphtheria toxoid conjugate antigen	146172505
1510	influenza a virus a/singapore/gp1908/2015 ivr-180 (h1n1) antigen (mdck cell derived, propiolactone inactivated)	146172506
1511	tinzaparin sodium	146172507
1512	tisagenlecleucel	146172508
1513	lysozyme, chicken egg white	146172509
1514	crataegus laevigata leaf	146172510
1515	magrolimab	146172511
1516	soybean	146172512
1517	equine thymocyte immune globulin	146172513
1518	teclistamab	146172514
1519	protamine hydrochloride	146172515
1520	emapalumab	146172516
1521	yellow wax	146172517
1522	populus deltoides pollen	146172518
1523	canis lupus familiaris hair	146172519
1524	micronomicin hemipentasulfate	146172520
1525	varicella-zoster virus strain oka/merck live antigen	146172521
1526	rhizopus stol	146172522
1527	methionine	146172523
1528	aspergillus flavus var. oryzae	146172524
1529	daratumumab	146172525
1530	 5500 mw)	146172526
1531	tuberculin purified protein derivative (mantoux)	146172527
1532	paraffin	146172528
1533	benzoin tincture, compound	146172529
1534	human botulinum neurotoxin a/b immune globulin	146172530
1535	pecan	146172531
1536	protamine	146172532
1537	abatacept	146172533
1538	ramatercept	146172534
1539	pemlimogene merolisbac	146172535
1540	bismuth camphocarbonate, d-	146172536
1541	influenza b virus b/brisbane/60/2008 antigen (formaldehyde inactivated)	146172537
1542	yellow fever virus strain 17d-204 live antigen	146172538
1543	alefacept	146172539
1544	cergutuzumab amunaleukin	146172540
1545	cavia porcellus skin	146172541
1546	fish oil	146172542
1547	carya ovata pollen	146172543
1548	patritumab	146172544
1549	cerebrolysin	146172545
1550	amitriptyline	146172546
1551	rumex crispus	146172547
1552	sus scrofa cerebral cortex	146172548
1553	wheat bran	146172549
1554	canakinumab	146172550
1555	saruplase	146172551
1556	influenza a virus a/texas/50/2012 x-223a (h3n2) antigen (formaldehyde inactivated)	146172552
1557	pentastarch	146172553
1558	adalimumab-atto	146172554
1559	aluminum silicate	146172555
1560	polyethylene glycol 4000 	146172556
1561	teceleukin	146172557
1562	anistreplase	146172558
1563	yttrium silicate colloidal, y-90	146172559
1564	custirsen	146172560
1565	ginkgo	146172561
1566	croscarmellose sodium	146172562
1567	quercus stellata pollen	146172563
1568	sodium lact	146172564
1569	tildrakizumab-asmn	146172565
1570	melissa officinalis	146172566
1571	pumpkin seed	146172567
1572	ferrous iodide	146172568
1573	myrrh tincture	146172569
1574	juglans regia pollen	146172570
1575	teprotumumab	146172571
1576	pegilodecakin	146172572
1577	krill oil	146172573
1578	hydroxypropyl cellulose	146172574
1579	mineral oil	146172575
1580	human adenovirus e serotype 4 strain cl-68578	146172576
1581	rimabotulinumtoxinb	146172577
1582	human immunoglobulin g	146172578
1583	dextriferron	146172579
1584	ivy extract	146172580
1585	aluminum chlorohydrate	146172581
1586	dinutuximab	146172582
1587	quercus rubra pollen	146172583
1588	aspergillus terreus	146172584
1589	technetium tc-99m methylene diphosphonate	146172585
1590	investigational product	146172586
1591	pegaspargase	146172587
1592	crataegus laevigata fruit	146172588
1593	prune	146172589
1594	juniperus virginiana pollen	146172590
1595	lavender oil	146172591
1596	rhizopus stolonifer	146172592
